time,ret_1,ema_20,ema_50,rsi_14,atr_14,atrp_14,adx_14,vwap,vwap_dist_pct,vol_z_20
2026-01-26T13:16:00-05:00,-0.0019223375624759509,nan,nan,nan,nan,nan,nan,13.04067477396868,-0.4652732701362717,nan
2026-01-26T13:30:00-05:00,-0.005392912172573205,nan,nan,nan,nan,nan,nan,13.005922557550479,-0.7375298224791558,nan
2026-01-26T13:45:00-05:00,-0.004647560030983766,12.983453602151366,12.998697797744667,nan,nan,nan,nan,12.984125692831494,-1.0329974925115284,nan
2026-01-26T14:00:00-05:00,-0.00894941634241242,12.959791354327427,12.988356707637033,nan,nan,nan,nan,12.948063320970483,-1.6455226985599452,nan
2026-01-26T14:15:00-05:00,-0.010208087946603772,12.92600170153434,12.973323111259111,nan,nan,nan,nan,12.908357095455537,-2.3500829207950527,nan
2026-01-26T14:30:00-05:00,0.00039666798889315125,12.895906301388212,12.959075146111696,nan,nan,nan,nan,12.875138010619969,-2.0593022801097116,nan
2026-01-26T14:45:00-05:00,-0.003965107057890438,12.863915225065526,12.943425140381825,nan,nan,nan,nan,12.835945952599541,-2.149790546162716,nan
2026-01-26T15:00:00-05:00,-0.0007961783439490722,12.834018536964047,12.927996703504107,nan,nan,nan,nan,12.795912878121486,-1.9218080059137357,nan
2026-01-26T15:15:00-05:00,-0.0063745019920318224,12.799350104872234,12.910036048464729,nan,nan,nan,nan,12.75956610196336,-2.269403987952245,nan
2026-01-26T15:30:00-05:00,0.00400962309542896,12.77274533297964,12.894740517152385,nan,nan,nan,nan,12.73600183851823,-1.6959940902722255,nan
2026-01-26T15:45:00-05:00,-0.0027955271565495154,12.745341015553008,12.878672261577783,nan,nan,nan,nan,12.70572813583045,-1.7372332657424943,nan
