time,open,high,low,close,volume
2026-01-26T12:48:00-05:00,24.47,24.47,24.47,24.47,140.0
2026-01-26T12:58:00-05:00,24.47,24.47,24.47,24.47,100.0
2026-01-26T13:00:00-05:00,24.43,24.43,24.43,24.43,100.0
2026-01-26T13:06:00-05:00,24.45,24.45,24.45,24.45,105.0
2026-01-26T13:18:00-05:00,24.35,24.35,24.35,24.35,100.0
2026-01-26T13:24:00-05:00,24.36,24.375,24.36,24.375,200.0
2026-01-26T13:29:00-05:00,24.375,24.375,24.375,24.375,200.0
2026-01-26T13:31:00-05:00,24.37,24.37,24.335,24.35,621.0
2026-01-26T13:58:00-05:00,24.39,24.39,24.39,24.39,140.0
2026-01-26T14:01:00-05:00,24.35,24.37,24.35,24.37,301.0
2026-01-26T14:18:00-05:00,24.2,24.2,24.2,24.2,107.0
2026-01-26T14:22:00-05:00,24.19,24.19,24.19,24.19,132.0
2026-01-26T14:30:00-05:00,24.15,24.15,24.15,24.15,101.0
2026-01-26T14:48:00-05:00,24.055,24.055,24.055,24.055,100.0
2026-01-26T14:50:00-05:00,24.055,24.07,24.05,24.05,474.0
2026-01-26T14:57:00-05:00,24.0,24.0,23.92,23.955,691.0
2026-01-26T15:01:00-05:00,23.805,23.805,23.805,23.805,297.0
2026-01-26T15:05:00-05:00,23.9,23.905,23.85,23.86,614.0
2026-01-26T15:10:00-05:00,23.88,23.88,23.87,23.87,261.0
2026-01-26T15:16:00-05:00,23.81,23.81,23.81,23.81,166.0
2026-01-26T15:21:00-05:00,23.835,23.835,23.835,23.835,101.0
2026-01-26T15:31:00-05:00,23.865,23.865,23.8,23.8,558.0
2026-01-26T15:41:00-05:00,23.92,23.925,23.92,23.925,525.0
2026-01-26T15:45:00-05:00,23.9,23.945,23.9,23.945,301.0
2026-01-26T15:50:00-05:00,23.99,24.03,23.91,23.98,4529.0
