time,open,high,low,close,volume
2026-01-29T11:20:00-05:00,20.815,20.82,20.535,20.565,44664.0
2026-01-29T11:30:00-05:00,20.555,20.725,20.465,20.555,58617.0
2026-01-29T11:45:00-05:00,20.55,20.665,20.34,20.405,49485.0
2026-01-29T12:00:00-05:00,20.385,20.635,20.385,20.59,30759.0
2026-01-29T12:15:00-05:00,20.565,20.735,20.565,20.625,22404.0
2026-01-29T12:30:00-05:00,20.685,20.88,20.68,20.8,13348.0
2026-01-29T12:45:00-05:00,20.8,20.8,20.505,20.555,20465.0
2026-01-29T13:16:00-05:00,20.755,20.79,20.505,20.535,15148.0
2026-01-29T13:30:00-05:00,20.53,20.53,20.35,20.48,47863.0
2026-01-29T13:45:00-05:00,20.47,20.64,20.44,20.44,14293.0
