time,open,high,low,close,volume
2026-01-27T08:48:00-05:00,24.93,24.94,24.93,24.94,200.0
2026-01-27T09:30:00-05:00,24.74,24.97,23.935,23.96,240813.0
2026-01-27T10:00:00-05:00,23.96,24.47,23.96,24.07,136052.0
2026-01-27T10:30:00-05:00,24.04,24.39,23.8,24.32,100231.0
2026-01-27T11:00:00-05:00,24.27,24.57,24.09,24.495,103297.0
2026-01-27T12:00:00-05:00,24.32,24.39,24.04,24.24,43784.0
2026-01-27T12:38:00-05:00,24.18,24.35,24.14,24.19,25170.0
2026-01-27T13:06:00-05:00,24.32,24.415,24.17,24.41,29183.0
2026-01-27T13:31:00-05:00,24.43,24.82,24.31,24.56,31824.0
2026-01-27T14:03:00-05:00,24.59,24.96,24.55,24.955,50990.0
2026-01-27T14:32:00-05:00,24.76,24.79,24.39,24.49,36218.0
2026-01-27T15:05:00-05:00,24.53,24.79,24.43,24.72,72010.0
