time,ret_1,ema_20,ema_50,rsi_14,atr_14,atrp_14,adx_14,vwap,vwap_dist_pct,vol_z_20
2026-01-28T10:20:00-05:00,-0.0006088315030096103,nan,nan,nan,nan,nan,nan,435.38417792604946,-0.0893872459728103,nan
2026-01-28T10:25:00-05:00,-0.0012184048092507282,nan,nan,nan,nan,nan,nan,435.0484193724918,-0.13410446895390699,nan
2026-01-28T10:30:00-05:00,-0.001035756620211048,435.3538087525259,435.55508606174453,nan,nan,nan,nan,434.8178078118665,-0.18463084939102892,nan
2026-01-28T10:35:00-05:00,0.0007257813670034086,435.2563031570472,435.50704347108785,nan,nan,nan,nan,434.7539145645555,-0.09750678495444731,nan
2026-01-28T11:11:00-05:00,-0.0036377869362005377,435.01760761828086,435.39892411928054,nan,nan,nan,nan,434.7305579805469,-0.4555828763791503,nan
2026-01-28T11:19:00-05:00,-0.000635470826112039,434.7754545117779,435.28426042832837,nan,nan,nan,nan,434.6251413779371,-0.4947116890477755,nan
2026-01-28T11:20:00-05:00,0.0019307474420486859,434.63588741541815,435.2068384507469,nan,nan,nan,nan,434.2678574724964,-0.2205683556851956,nan
2026-01-28T11:25:00-05:00,0.0018577923426645881,434.58627909014024,435.16402125659994,nan,nan,nan,nan,434.11376400930436,0.0002847158505716313,nan
2026-01-28T11:30:00-05:00,-0.002073183373069387,434.45568108155544,435.0875890504588,nan,nan,nan,nan,434.04698187570386,-0.19168014303625314,nan
2026-01-28T11:35:00-05:00,0.00032316517202790607,434.3508543118835,435.01964438181335,nan,nan,nan,nan,433.9755889703629,-0.14300089362981228,nan
2026-01-28T11:40:00-05:00,-0.0019268267355864177,434.1764872345613,434.9216191119383,nan,nan,nan,nan,433.84889732911205,-0.30630418500383627,nan
2026-01-28T11:45:00-05:00,0.0016415425876261658,434.0863455931745,434.8552811075486,nan,nan,nan,nan,433.77365540177885,-0.12533158595703087,nan
2026-01-28T12:22:00-05:00,0.0014311104955797571,434.0638364890626,434.81585831901725,39.322617680827,0.9724999999999966,0.22415581422150435,nan,433.7886154142299,0.014150806081317406,nan
2026-01-28T12:25:00-05:00,-0.001659559755675999,433.9748996805805,434.7497462280754,38.14031180400911,0.9653571428571419,0.2228793071034428,nan,433.74014289240023,-0.14067014603063713,nan
2026-01-28T12:30:00-05:00,-0.0012005633412600636,433.844909234811,434.6658346112881,37.08716838115886,0.9517857142857135,0.22001010477929622,nan,433.6712644427002,-0.24471633924465389,nan
2026-01-28T12:35:00-05:00,0.0010286401146528679,433.7696797838766,434.60266462653175,42.29508196721336,0.923571428571425,0.2132688523562654,nan,433.60621004109584,-0.12712226631707751,nan
2026-01-28T12:40:00-05:00,0.00028864693861052615,433.7135198044598,434.54687385686384,45.26912181303133,0.8921428571428537,0.20595199620085267,nan,433.5725742512848,-0.09054406911292481,nan
2026-01-28T12:45:00-05:00,0.0003924465580129599,433.6788988707017,434.49993762718293,44.35483870967772,0.9099999999999925,0.2099919233875603,nan,433.55214237405534,-0.04662469730824466,1.0639154305742393
2026-01-28T12:50:00-05:00,0.00048459674627898686,433.66757516873014,434.4630773280777,55.5403556771545,0.8242857142857117,0.19012033266115688,nan,433.5504903108864,0.0021934444375279996,0.11346433814138572
2026-01-28T12:55:00-05:00,-0.0019028508164959934,433.57875848599394,434.3953095897217,51.65394402035615,0.8653571428571435,0.19997392003354098,nan,433.52117274147594,-0.18134586980016906,0.053624711876229345
2026-01-28T13:00:00-05:00,0.002149121286699751,433.58697196351835,434.3666699979679,52.23130106851044,0.8735714285714299,0.20143922810727863,nan,433.5128797317828,0.03509013810877992,-0.5383001602783201
2026-01-28T13:05:00-05:00,0.0019369790045311586,433.674403205088,434.37209470393,52.44055068836033,0.845000000000007,0.19447417175866952,nan,433.54437620968554,0.22157450148767416,-0.04535300227144931
2026-01-28T13:10:00-05:00,0.0018756976329386,433.8311267093654,434.4092674606386,63.314358001265,0.850357142857149,0.19534070174978155,nan,433.629718786,0.38979828659625365,0.5769376330882926
