time,ret_1,ema_20,ema_50,rsi_14,atr_14,atrp_14,adx_14,vwap,vwap_dist_pct,vol_z_20
2026-01-27T15:37:00-05:00,-9.735834361013218e-05,nan,nan,nan,nan,nan,nan,770.5866329479768,-0.04044100100525063,nan
2026-01-27T15:48:00-05:00,0.0002466651520560692,nan,nan,nan,nan,nan,nan,770.5221227559438,-0.007413512767086461,nan
2026-01-27T15:50:00-05:00,-0.0008631151317711749,770.8042534746326,770.9691435066011,nan,nan,nan,nan,770.2703738809901,-0.061066074581077476,nan
