time,symbol,event,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-01-26T12:35:00-05:00,UNG,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:00.076996-05:00,15.04,4100.0,15.05,5700.0,15.045,0.010000000000001563,0.06646726487206091
2026-01-26T12:35:00-05:00,IAG,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:40:59.866734-05:00,21.68,2100.0,21.69,200.0,21.685000000000002,0.010000000000001563,0.04611482591653936
2026-01-26T12:35:00-05:00,TQQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:00.072606-05:00,55.51,2800.0,55.52,4200.0,55.515,0.010000000000005116,0.018013149599216637
2026-01-26T12:35:00-05:00,NVD,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:40:57.258633-05:00,7.09,4800.0,7.1,34100.0,7.095,0.009999999999999787,0.14094432699083562
2026-01-26T12:35:00-05:00,XLV,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:00.072745-05:00,157.97,100.0,157.98,700.0,157.975,0.009999999999990905,0.006330115524602567
2026-01-26T12:35:00-05:00,DIA,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:00.114947-05:00,492.99,320.0,493.02,120.0,493.005,0.029999999999972715,0.006085130982438863
2026-01-26T12:35:00-05:00,KITT,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:40:56.794322-05:00,1.22,200.0,1.23,200.0,1.225,0.010000000000000009,0.8163265306122455
2026-01-26T12:35:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:00.110060-05:00,627.11,160.0,627.12,120.0,627.115,0.009999999999990905,0.001594603860534496
2026-01-26T12:35:00-05:00,RGTI,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:00.126736-05:00,22.4,300.0,22.41,1500.0,22.405,0.010000000000001563,0.04463289444321162
2026-01-26T12:35:00-05:00,XLE,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:40:59.313793-05:00,49.08,4700.0,49.09,4400.0,49.085,0.010000000000005116,0.020372822654589215
