time,ret_1,ema_20,ema_50,rsi_14,atr_14,atrp_14,adx_14,vwap,vwap_dist_pct,vol_z_20
2026-01-26T13:11:00-05:00,-0.0001268016399679217,nan,nan,nan,nan,nan,nan,118.3208181818182,-0.03449788671632782,nan
2026-01-26T13:23:00-05:00,0.001099086912411229,nan,nan,nan,nan,nan,nan,118.33214285714287,0.06579543053751703,nan
2026-01-26T13:27:00-05:00,0.0005911662866313616,118.39841999989713,118.40403929166332,nan,nan,nan,nan,118.39552435478008,0.07135037044710237,nan
2026-01-26T13:55:00-05:00,-0.0013926401080351924,118.39047523800217,118.40054755473535,nan,nan,nan,nan,118.38317002237137,-0.057584217721567826,nan
2026-01-26T14:22:00-05:00,-0.0007184211638422422,118.37519188200197,118.39385941533398,nan,nan,nan,nan,118.37058932238193,-0.11877048444781592,nan
2026-01-26T14:29:00-05:00,-0.00038061405734590714,118.35707836943035,118.38566885002678,nan,nan,nan,nan,118.36063544500584,-0.14839008285608946,nan
2026-01-26T14:37:00-05:00,-4.2306553285076376e-05,118.34021376281794,118.3776034049277,nan,nan,nan,nan,118.35381264023935,-0.14685850532562625,nan
2026-01-26T14:40:00-05:00,-8.461668641057685e-05,118.32400292826385,118.36946209493054,nan,nan,nan,nan,118.34102122477384,-0.14451558977930828,nan
2026-01-26T14:47:00-05:00,-0.0007616146230008392,118.30076455414348,118.35811064022738,nan,nan,nan,nan,118.3240387117762,-0.206246097101747,nan
2026-01-26T15:11:00-05:00,-0.0011856368563685216,118.26640602517743,118.34171414453219,nan,nan,nan,nan,118.27812154959072,-0.28586990151763547,nan
2026-01-26T15:20:00-05:00,4.2394437849813116e-05,118.23579592754149,118.32615672709956,nan,nan,nan,nan,118.26012470736539,-0.266467423525195,nan
2026-01-26T15:37:00-05:00,0.0006358896095637334,118.2152439344423,118.31415058093879,nan,nan,nan,nan,118.2538089601964,-0.19771791052844434,nan
